order_id,customer_id,product,quantity,unit_price,order_date,status
ORD-0001,C001,机械键盘,1,299.00,2026-06-01,completed
ORD-0002,C002,无线鼠标,2,89.50,2026-06-01,completed
ORD-0003,C003,显示器,1,1299.00,2026-06-02,shipped
ORD-0004,C001,USB-C 数据线,3,19.90,2026-06-03,completed
ORD-0005,C004,笔记本电脑支架,1,159.00,2026-06-03,pending
ORD-0006,C002,机械键盘,1,299.00,2026-06-04,cancelled
ORD-0007,C005,蓝牙耳机,1,399.00,2026-06-05,completed
ORD-0008,C003,显示器,1,1299.00,2026-06-05,completed
ORD-0009,C999,路由器,1,249.00,2026-06-06,pending
ORD-0010,C002,鼠标垫,2,29.90,2026-06-06,completed
ORD-0003,C001,键盘腕托,1,49.00,2026-06-07,completed
ORD-0012,C004,扩展坞,1,459.00,2026-06-08,shipped
ORD-0013,,摄像头,1,199.00,2026-06-08,pending
ORD-0014,C005,机械键盘,1,-299.00,2026-06-09,completed
ORD-0015,C001,无线鼠标,1,89.50,2026-06-32,completed
ORD-0016,C003,显示器,2,1299.00,2026-06-10,delivered
ORD-0017,C002,USB 集线器,0,79.00,2026-06-11,completed
ORD-0018,C004,笔记本内存条,1,329.00,2026-06-11,completed
ORD-0019,C005,固态硬盘 1TB,1,549.00,2026-06-12,shipped
ORD-0020,C001,显示器挂灯,1,189.00,2026-06-12,completed
